344	65.0	0.41
344	65.0	0.40
344	65.9	0.42
351	63.7	0.43
344	62.8	0.44
346	62.3	0.43
344	61.2	0.43
350	59.7	0.44
360	60.4	0.44
363	61.3	0.45
357	61.8	0.45
347	63.9	0.46
350	67.7	0.46
369	71.1	0.47
359	74.0	0.49
359	79.8	0.49
380	82.7	0.50
390	85.6	0.51
402	89.5	0.52
426	90.9	0.52
426	90.7	0.54
429	90.9	0.58
429	91.3	0.60
429	93.2	0.59
415	100.0	0.58
383	107.6	0.59
313	115.7	0.59
266	125.2	0.58
217	130.7	0.58
172	138.1	0.59
159	142.2	0.59
164	152.3	0.60
187	153.1	0.61
208	154.4	0.61
229	152.9	0.63
243	155.1	0.63
276	156.1	0.64
305	153.2	0.67
331	154.6	0.70
353	156.2	0.71
374	158.0	0.75
406	155.6	0.77
428	153.0	0.79
460	151.7	0.82
487	148.1	0.86
521	145.1	0.88
541	141.3	0.93
566	141.1	0.95
581	141.4	0.96
603	142.8	0.96
625	144.3	1.04
682	147.0	1.06
695	151.3	1.11
733	156.8	1.16
764	159.9	1.24
793	164.2	1.31
807	168.8	1.38
856	174.1	1.45
888	178.9	1.53
901	180.5	1.59
909	184.3	1.65
915	188.4	1.72
920	192.0	1.77
930	194.5	1.88
964	200.1	1.96
982	203.4	2.02
1005	207.9	2.10
1017	209.2	2.19
1001	212.2	2.26
987	213.9	2.37
964	218.6	2.41
955	225.0	2.48
936	234.8	2.49
922	248.5	2.59
913	259.5	2.67
913	270.1	2.72
908	277.9	2.82
909	289.0	2.90
908	297.3	3.00
904	305.1	3.10
901	308.2	3.16
901	312.4	3.19
890	318.5	3.24
878	322.0	3.29
892	325.3	3.36
915	331.5	3.46
911	336.6	3.55
917	340.7	3.68
951	344.9	3.75
977	348.7	3.91
985	353.3	4.02
985	360.6	4.10
996	364.5	4.17
1001	368.5	4.27
1010	375.0	4.36
1018	389.3	4.51
1018	406.0	4.42
980	432.0	4.53
868	460.2	4.65
690	497.4	4.61
564	529.9	4.60
486	562.2	4.56
433	588.4	4.51
419	602.2	4.52
420	612.5	4.48
432	612.2	4.49
418	618.3	4.51
387	621.3	4.41
372	644.6	4.41
354	682.9	4.39
318	700.4	4.37
268	722.9	4.27
231	722.5	4.25
208	736.7	4.25
193	729.0	4.25
202	742.7	4.16
225	756.6	4.09
255	766.8	4.11
267	773.8	4.06
272	772.9	4.03
296	787.3	4.03
331	800.1	4.06
