344	65.464	0.410
344	65.464	0.400
344	65.464	0.420
351	63.487	0.430
344	62.717	0.440
346	62.370	0.430
344	61.422	0.430
350	60.130	0.440
360	60.373	0.440
363	61.176	0.450
357	61.683	0.450
347	64.029	0.460
350	67.624	0.460
369	70.994	0.470
359	73.972	0.490
359	79.910	0.490
380	82.606	0.500
390	84.845	0.510
402	89.527	0.520
426	90.952	0.520
426	90.755	0.540
429	90.924	0.580
429	91.362	0.600
429	93.148	0.590
415	99.961	0.580
383	107.571	0.590
313	115.648	0.590
266	125.195	0.580
217	130.715	0.580
172	138.124	0.590
159	142.230	0.590
164	152.208	0.600
187	153.011	0.610
208	154.352	0.610
229	152.871	0.630
243	155.113	0.630
276	156.184	0.640
305	153.249	0.670
331	154.604	0.700
353	156.166	0.710
374	157.855	0.750
406	155.567	0.770
428	152.948	0.790
460	151.721	0.820
487	148.163	0.860
521	145.075	0.880
541	141.323	0.930
566	141.087	0.950
581	141.441	0.960
603	142.762	0.960
625	144.356	1.040
682	147.070	1.060
695	151.410	1.110
733	156.831	1.160
764	159.915	1.240
793	164.278	1.310
807	168.802	1.380
856	173.869	1.450
888	178.934	1.530
901	181.070	1.590
909	184.305	1.650
915	188.391	1.720
920	191.994	1.770
930	194.251	1.880
964	200.099	1.960
982	203.176	2.020
1005	207.882	2.100
1017	209.174	2.190
1001	212.194	2.260
987	213.901	2.370
964	218.781	2.410
955	225.190	2.480
936	235.183	2.490
922	248.862	2.590
913	259.791	2.670
913	270.395	2.720
908	278.225	2.820
909	289.502	2.900
908	297.944	3.000
904	306.082	3.100
901	309.506	3.160
901	313.912	3.190
890	320.115	3.240
878	323.599	3.290
892	326.643	3.360
915	332.545	3.460
911	337.344	3.550
917	341.188	3.680
951	345.272	3.750
977	349.088	3.910
985	353.899	4.020
985	361.283	4.100
996	365.121	4.170
1001	369.133	4.270
1010	375.733	4.360
1018	390.253	4.510
1018	407.615	4.420
980	433.720	4.530
868	462.054	4.650
690	499.325	4.610
564	531.727	4.600
486	564.270	4.560
433	589.963	4.510
419	604.157	4.520
420	615.187	4.480
432	616.799	4.490
418	621.342	4.510
387	630.867	4.410
372	652.230	4.410
354	697.062	4.390
318	721.695	4.372
268	742.818	4.265
231	756.862	4.226
208	772.871	4.203
193	759.657	4.243
202	767.942	4.199
225	776.091	4.193
255	779.895	4.263
267	781.999	4.229
272	776.764	4.127
296	787.176	4.120
331	796.289	4.149
367	812.034	4.213
405	824.948	4.310
